time,dBm
2025-11-13T19:58:14.917215Z,-93.18
2025-11-13T19:58:14.918215Z,-93.72
2025-11-13T19:58:14.919215Z,-92.54
2025-11-13T19:58:14.920215Z,-93.35
2025-11-13T19:58:14.921215Z,-92.42
2025-11-13T19:58:14.922215Z,-92.49
2025-11-13T19:58:14.923215Z,-92.65
2025-11-13T19:58:14.924215Z,-91.18
2025-11-13T19:58:14.925215Z,-94.64
2025-11-13T19:58:14.926215Z,-91.13
2025-11-13T19:58:14.927215Z,-94.01
2025-11-13T19:58:14.928215Z,-92.46
2025-11-13T19:58:14.929215Z,-93.88
2025-11-13T19:58:14.930215Z,-93.20
2025-11-13T19:58:14.931215Z,-92.11
2025-11-13T19:58:14.932215Z,-94.31
2025-11-13T19:58:14.933215Z,-92.33
2025-11-13T19:58:14.934215Z,-91.20
2025-11-13T19:58:14.935215Z,-95.63
2025-11-13T19:58:14.936215Z,-90.29
2025-11-13T19:58:14.937215Z,-94.28
2025-11-13T19:58:14.938215Z,-92.20
2025-11-13T19:58:14.939215Z,-94.83
2025-11-13T19:58:14.940215Z,-92.29
2025-11-13T19:58:14.941215Z,-93.14
2025-11-13T19:58:14.942215Z,-94.39
2025-11-13T19:58:14.943215Z,-93.88
2025-11-13T19:58:14.944215Z,-92.22
2025-11-13T19:58:14.945215Z,-94.26
2025-11-13T19:58:14.946215Z,-92.05
2025-11-13T19:58:14.947215Z,-92.04
2025-11-13T19:58:14.948215Z,-92.70
2025-11-13T19:58:14.949215Z,-91.59
2025-11-13T19:58:14.950215Z,-94.05
2025-11-13T19:58:14.951215Z,-92.75
2025-11-13T19:58:14.952215Z,-94.74
2025-11-13T19:58:14.953215Z,-93.44
2025-11-13T19:58:14.954215Z,-92.10
2025-11-13T19:58:14.955215Z,-92.20
2025-11-13T19:58:14.956215Z,-92.98
2025-11-13T19:58:14.957215Z,-90.62
2025-11-13T19:58:14.958215Z,-94.98
2025-11-13T19:58:14.959215Z,-94.93
2025-11-13T19:58:14.960215Z,-94.69
2025-11-13T19:58:14.961215Z,-90.92
2025-11-13T19:58:14.962215Z,-95.50
2025-11-13T19:58:14.963215Z,-92.12
2025-11-13T19:58:14.964215Z,-91.54
2025-11-13T19:58:14.965215Z,-93.50
2025-11-13T19:58:14.966215Z,-93.83
