time,dBm
2025-11-13T19:58:13.644876Z,-56.48
2025-11-13T19:58:13.645876Z,-67.77
2025-11-13T19:58:13.646876Z,-60.07
2025-11-13T19:58:13.647876Z,-68.89
2025-11-13T19:58:13.648876Z,-62.54
2025-11-13T19:58:13.649876Z,-61.68
2025-11-13T19:58:13.650876Z,-61.81
2025-11-13T19:58:13.651876Z,-65.61
2025-11-13T19:58:13.652876Z,-60.02
2025-11-13T19:58:13.653876Z,-69.02
2025-11-13T19:58:13.654876Z,-65.55
2025-11-13T19:58:13.655876Z,-64.50
2025-11-13T19:58:13.656876Z,-61.77
2025-11-13T19:58:13.657876Z,-56.12
2025-11-13T19:58:13.658876Z,-54.86
2025-11-13T19:58:13.659876Z,-61.84
2025-11-13T19:58:13.660876Z,-59.55
2025-11-13T19:58:13.661876Z,-67.58
2025-11-13T19:58:13.662876Z,-61.73
2025-11-13T19:58:13.663876Z,-61.37
2025-11-13T19:58:13.664876Z,-41.16
2025-11-13T19:58:13.665876Z,-65.14
2025-11-13T19:58:13.666876Z,-66.22
2025-11-13T19:58:13.667876Z,-69.00
2025-11-13T19:58:13.668876Z,-61.52
2025-11-13T19:58:13.669876Z,-61.66
2025-11-13T19:58:13.670876Z,-66.45
2025-11-13T19:58:13.671876Z,-52.37
2025-11-13T19:58:13.672876Z,-61.51
2025-11-13T19:58:13.673876Z,-64.53
2025-11-13T19:58:13.674876Z,-56.60
2025-11-13T19:58:13.675876Z,-57.93
2025-11-13T19:58:13.676876Z,-60.26
2025-11-13T19:58:13.677876Z,-62.90
2025-11-13T19:58:13.678876Z,-59.62
2025-11-13T19:58:13.679876Z,-61.86
2025-11-13T19:58:13.680876Z,-62.89
2025-11-13T19:58:13.681876Z,-54.91
2025-11-13T19:58:13.682876Z,-60.24
2025-11-13T19:58:13.683876Z,-64.38
2025-11-13T19:58:13.684876Z,-58.29
2025-11-13T19:58:13.685876Z,-61.83
2025-11-13T19:58:13.686876Z,-62.16
2025-11-13T19:58:13.687876Z,-61.26
2025-11-13T19:58:13.688876Z,-66.08
2025-11-13T19:58:13.689876Z,-65.68
2025-11-13T19:58:13.690876Z,-74.51
2025-11-13T19:58:13.691876Z,-59.25
2025-11-13T19:58:13.692876Z,-65.52
2025-11-13T19:58:13.693876Z,-63.51
2025-11-13T19:58:13.694876Z,-62.83
2025-11-13T19:58:13.695876Z,-66.97
2025-11-13T19:58:13.696876Z,-60.46
2025-11-13T19:58:13.697876Z,-65.12
2025-11-13T19:58:13.698876Z,-55.25
2025-11-13T19:58:13.699876Z,-62.86
2025-11-13T19:58:13.700876Z,-58.77
2025-11-13T19:58:13.701876Z,-59.59
2025-11-13T19:58:13.702876Z,-56.65
2025-11-13T19:58:13.703876Z,-54.77
2025-11-13T19:58:13.704876Z,-57.73
2025-11-13T19:58:13.705876Z,-54.39
2025-11-13T19:58:13.706876Z,-65.63
2025-11-13T19:58:13.707876Z,-58.64
2025-11-13T19:58:13.708876Z,-61.08
2025-11-13T19:58:13.709876Z,-56.65
2025-11-13T19:58:13.710876Z,-64.65
2025-11-13T19:58:13.711876Z,-49.63
2025-11-13T19:58:13.712876Z,-57.34
2025-11-13T19:58:13.713876Z,-64.61
2025-11-13T19:58:13.714876Z,-71.21
2025-11-13T19:58:13.715876Z,-57.51
2025-11-13T19:58:13.716876Z,-60.95
2025-11-13T19:58:13.717876Z,-62.31
2025-11-13T19:58:13.718876Z,-49.62
2025-11-13T19:58:13.719876Z,-66.47
2025-11-13T19:58:13.720876Z,-57.59
2025-11-13T19:58:13.721876Z,-63.58
2025-11-13T19:58:13.722876Z,-61.61
2025-11-13T19:58:13.723876Z,-55.77
2025-11-13T19:58:13.724876Z,-57.49
2025-11-13T19:58:13.725876Z,-65.96
2025-11-13T19:58:13.726876Z,-62.78
2025-11-13T19:58:13.727876Z,-62.09
2025-11-13T19:58:13.728876Z,-52.09
2025-11-13T19:58:13.729876Z,-63.33
2025-11-13T19:58:13.730876Z,-64.39
2025-11-13T19:58:13.731876Z,-55.21
2025-11-13T19:58:13.732876Z,-55.41
2025-11-13T19:58:13.733876Z,-55.47
2025-11-13T19:58:13.734876Z,-71.82
2025-11-13T19:58:13.735876Z,-58.82
2025-11-13T19:58:13.736876Z,-69.77
2025-11-13T19:58:13.737876Z,-63.24
2025-11-13T19:58:13.738876Z,-63.59
2025-11-13T19:58:13.739876Z,-60.81
2025-11-13T19:58:13.740876Z,-56.44
2025-11-13T19:58:13.741876Z,-52.76
2025-11-13T19:58:13.742876Z,-58.91
2025-11-13T19:58:13.743876Z,-58.95
2025-11-13T19:58:13.744876Z,-64.18
2025-11-13T19:58:13.745876Z,-60.97
2025-11-13T19:58:13.746876Z,-66.45
2025-11-13T19:58:13.747876Z,-64.93
2025-11-13T19:58:13.748876Z,-49.45
2025-11-13T19:58:13.749876Z,-57.05
2025-11-13T19:58:13.750876Z,-54.04
2025-11-13T19:58:13.751876Z,-53.94
2025-11-13T19:58:13.752876Z,-60.30
2025-11-13T19:58:13.753876Z,-54.76
2025-11-13T19:58:13.754876Z,-61.42
2025-11-13T19:58:13.755876Z,-61.72
2025-11-13T19:58:13.756876Z,-57.30
2025-11-13T19:58:13.757876Z,-58.62
2025-11-13T19:58:13.758876Z,-55.42
2025-11-13T19:58:13.759876Z,-63.00
2025-11-13T19:58:13.760876Z,-63.43
2025-11-13T19:58:13.761876Z,-66.04
2025-11-13T19:58:13.762876Z,-62.20
